stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding,geometry,neighbourhood
WE,Weston GO,43.70022,-79.51467099999998,4,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=WE,0,1,POINT (-79.51467099999998 43.70022),Weston
UN,Union Station,43.645195,-79.3806,2,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=UN,0,1,POINT (-79.3806 43.645195),Waterfront Communities-The Island
SC,Scarborough GO,43.716945,-79.254722,6,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=SC,0,1,POINT (-79.254722 43.716945),Birchcliffe-Cliffside
RU,Rutherford GO,43.838487,-79.498819,61,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=RU,0,1,POINT (-79.498819 43.838487),
PO,Port Credit GO,43.555999,-79.586881,10,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=PO,0,1,POINT (-79.58688100000001 43.555999),
PA,Pearson Airport Terminal 1,43.6821671,-79.6132584,31,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=PA,0,1,POINT (-79.61325840000001 43.6821671),
OR,Oriole GO,43.765518,-79.364275,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=OR,0,1,POINT (-79.36427500000001 43.765518),St.Andrew-Windfields
OL,Old Cummer GO,43.793703,-79.371403,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=OL,0,1,POINT (-79.371403 43.793703),Bayview Woods-Steeles
OA,Oakville GO,43.455594,-79.682242,13,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=OA,0,1,POINT (-79.682242 43.455594),
MK,Milliken GO,43.823227,-79.301785,70,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=MK,0,1,POINT (-79.301785 43.823227),Milliken
MI,Mimico GO,43.616411,-79.497762,79,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=MI,0,2,POINT (-79.49776199999999 43.616411),Mimico (includes Humber Bay Shores)
MA,Malton GO,43.705153,-79.63823000000002,31,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=MA,0,1,POINT (-79.63823000000002 43.705153),
LO,Long Branch GO,43.591317,-79.546149,59,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=LO,0,2,POINT (-79.546149 43.591317),Long Branch
LA,Langstaff GO,43.838546,-79.423139,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=LA,0,1,POINT (-79.42313900000001 43.838546),
KP,Kipling GO,43.636955,-79.536287,3,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=KP,0,2,POINT (-79.536287 43.636955),Islington-City Centre West
KE,Kennedy GO,43.733045,-79.26270600000002,77,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=KE,0,1,POINT (-79.26270600000002 43.733045),Kennedy Park
EX,Exhibition GO,43.635549,-79.418927,2,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=EX,0,1,POINT (-79.418927 43.635549),Niagara
ET,Etobicoke North GO,43.706172,-79.563506,4,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=ET,0,1,POINT (-79.563506 43.706172),West Humber-Clairville
ER,Erindale GO,43.567235,-79.66850600000002,40,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=ER,0,1,POINT (-79.66850600000002 43.567235),
EG,Eglinton GO,43.739621,-79.23231,8,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=EG,0,2,POINT (-79.23231 43.739621),Eglinton East
DW,Downsview Park GO,43.7536333,-79.47835,19,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=DW,0,1,POINT (-79.47835000000001 43.7536333),Downsview-Roding-CFB
DI,Dixie GO,43.608022,-79.57776199999998,11,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=DI,0,1,POINT (-79.57776199999998 43.608022),
DA,Danforth GO,43.686462,-79.300358,6,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=DA,0,1,POINT (-79.300358 43.686462),East End-Danforth
CO,Cooksville GO,43.582973,-79.623695,11,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=CO,0,1,POINT (-79.623695 43.582973),
CL,Clarkson GO,43.513127,-79.633206,12,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=CL,0,1,POINT (-79.633206 43.513127),
BL,Bloor GO,43.656928,-79.450192,1,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=BL,0,1,POINT (-79.450192 43.656928),High Park North
BE,Bramalea GO,43.7022591,-79.6887512,32,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=BE,0,1,POINT (-79.6887512 43.7022591),
AG,Agincourt GO,43.78611,-79.284385,7,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=AG,0,1,POINT (-79.284385 43.78611),Agincourt South-Malvern West
08012,Malton GO Bus,43.705143,-79.637825,31,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=08012,0,1,POINT (-79.63782500000001 43.705143),
02772,Yonge St. @ Sheppard Ave.,43.762187996328,-79.41093450555809,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02772,0,1,POINT (-79.41093450555809 43.762187996328),Willowdale East
02771,Yonge St. @ Hwy. 407,43.838466425090296,-79.42930969168941,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02771,0,1,POINT (-79.42930969168941 43.8384664250903),
02766,Trafalgar Rd. @ McCraney St. E.,43.466272,-79.690048,13,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02766,0,2,POINT (-79.690048 43.466272),
02753,Cooksville GO Bus,43.582296,-79.62450600000003,11,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02753,0,1,POINT (-79.62450600000003 43.582296),
02752,Cooksville GO Bus,43.5822961767171,-79.6245055812486,11,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02752,0,1,POINT (-79.6245055812486 43.5822961767171),
02751,Cooksville GO Bus,43.582296,-79.62450600000003,11,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02751,0,1,POINT (-79.62450600000003 43.582296),
02739,Rathburn Rd. W. @ Perivale Rd.,43.575505,-79.664227,40,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02739,0,1,POINT (-79.664227 43.575505),
02738,Rathburn Rd. W. @ Perivale Rd.,43.575855,-79.664277,40,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02738,0,1,POINT (-79.664277 43.575855),
02729,Bramalea GO Bus,43.703088700538395,-79.6916834595897,32,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02729,0,1,POINT (-79.6916834595897 43.70308870053839),
02728,Bramalea GO Bus,43.70151109989049,-79.6932467645138,32,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02728,0,1,POINT (-79.6932467645138 43.70151109989049),
02709,Yonge St. @ Finch Ave.,43.78085194297221,-79.416002462366,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02709,0,1,POINT (-79.416002462366 43.78085194297221),Newtonbrook West
02708,Hwy. 50 @ Castlemore Rd.,43.8022027763583,-79.6689430530202,56,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02708,0,1,POINT (-79.6689430530202 43.8022027763583),
02674,Hwy 407 Bus Terminal,43.783071323485096,-79.5244458372792,19,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02674,0,1,POINT (-79.5244458372792 43.7830713234851),
02673,Hwy 407 Bus Terminal,43.7830465622674,-79.5232260682288,19,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02673,0,1,POINT (-79.52322606822879 43.7830465622674),
02664,City Centre Dr. @ Duke of York Blvd.,43.589202904424106,-79.64274644800459,20,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02664,0,2,POINT (-79.64274644800459 43.58920290442411),
02663,City Centre Dr. @ Robert Speck Pkwy.,43.594225540709,-79.63927873049371,20,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02663,0,1,POINT (-79.63927873049371 43.594225540709),
02662,City Centre Dr. @ Robert Speck Pkwy.,43.594748085345294,-79.6397587842478,20,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02662,0,1,POINT (-79.6397587842478 43.59474808534529),
02661,Renforth Transitway Station,43.662995090205,-79.5911181123626,25,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02661,0,1,POINT (-79.59111811236259 43.662995090205),
02660,Renforth Transitway Station,43.6630754344014,-79.591281189024,25,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02660,0,1,POINT (-79.591281189024 43.6630754344014),
02659,Dixie Transitway Station,43.63001289472179,-79.6146254772841,25,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02659,0,1,POINT (-79.61462547728409 43.63001289472179),
02658,Dixie Transitway Station,43.630047866303215,-79.6146878930147,25,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02658,0,1,POINT (-79.6146878930147 43.63004786630322),
02655,Hurontario St. @ Fairview Rd.,43.58759076107009,-79.62650466709121,11,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02655,0,1,POINT (-79.62650466709121 43.58759076107009),
02654,Hurontario St. @ Elm Dr.,43.5908331882659,-79.63101442796851,11,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02654,0,2,POINT (-79.63101442796851 43.5908331882659),
02568,Yonge St. @ Sheppard Ave.,43.7613983,-79.4107361,5,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02568,0,1,POINT (-79.41073609999999 43.7613983),Willowdale East
02535,Hwy. 50 @ Ebenezer Rd.,43.777973,-79.654884,56,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02535,0,1,POINT (-79.654884 43.777973),
02534,Hwy. 50 @ Ebenezer Rd.,43.779167,-79.655106,56,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02534,0,1,POINT (-79.655106 43.779167),
02533,Hwy. 50 @ Queen St. E.,43.768192,-79.648849,56,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02533,0,1,POINT (-79.648849 43.768192),
02414,City Centre Dr. @ Mercer St.,43.5895958,-79.6420135,20,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02414,0,1,POINT (-79.6420135 43.5895958),
02407,Scarborough Centre Bus Terminal,43.7746925,-79.2563095,7,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02407,0,1,POINT (-79.2563095 43.7746925),Bendale
02300,Union Station Bus Terminal,43.644042,-79.37693900000002,2,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02300,0,1,POINT (-79.37693900000002 43.644042),Waterfront Communities-The Island
02209,Renforth Dr. @ Convair Dr.,43.6723671,-79.5936432,31,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02209,0,2,POINT (-79.5936432 43.6723671),
02208,Renforth Dr. @ Convair Dr.,43.6720657,-79.5930939,31,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02208,0,1,POINT (-79.5930939 43.6720657),West Humber-Clairville
02127,Yonge St. @ Clark Ave. E.,43.8069839,-79.42214969999998,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02127,0,2,POINT (-79.42214969999998 43.8069839),
02092,Yonge St. @ Uplands Ave.,43.8269348,-79.42678070000002,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02092,0,1,POINT (-79.42678070000002 43.8269348),
02088,Yonge St. @ Thornhill Ave.,43.82532120000001,-79.4267273,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02088,0,1,POINT (-79.4267273 43.82532120000001),
02079,Yonge St. @ Royal Orchard Blvd.,43.8227158,-79.42579649999998,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02079,0,2,POINT (-79.42579649999998 43.8227158),
02078,Yonge St. @ Royal Orchard Blvd.,43.8223343,-79.42603299999998,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02078,0,1,POINT (-79.42603299999998 43.8223343),
02058,Yonge St. @ Meadowview Ave.,43.80200960000001,-79.42131040000002,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02058,0,1,POINT (-79.42131040000002 43.80200960000001),
02043,Yonge St. @ John St.,43.8139114,-79.4238434,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02043,0,2,POINT (-79.4238434 43.8139114),
02042,Yonge St. @ Thornridge Dr.,43.8135796,-79.42401120000002,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02042,0,2,POINT (-79.42401120000002 43.8135796),
02036,Yonge St. @ Hwy. 407,43.8365974,-79.42935179999998,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02036,0,2,POINT (-79.42935179999998 43.8365974),
02034,Yonge St. @ Hwy. 407,43.8368607,-79.4290314,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02034,0,2,POINT (-79.4290314 43.8368607),
02024,Yonge St. @ Glen Cameron Rd.,43.8051033,-79.42171479999998,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02024,0,1,POINT (-79.42171479999998 43.8051033),
02023,Yonge St. @ Glen Cameron Rd.,43.8057404,-79.42220309999998,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02023,0,2,POINT (-79.42220309999998 43.8057404),
02021,Yonge St. @ Garden Ave.,43.83845520000001,-79.42977909999998,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02021,0,1,POINT (-79.42977909999998 43.83845520000001),
02018,Yonge St. @ Elgin St.,43.810688,-79.4231033,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02018,0,1,POINT (-79.42310329999999 43.810688),
02012,Yonge St. @ Doncaster Ave.,43.8016968,-79.4208908,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02012,0,1,POINT (-79.4208908 43.8016968),
02004,Yonge St. @ Clark Ave. W.,43.807312,-79.4226227,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02004,0,1,POINT (-79.42262270000001 43.807312),
01998,Yonge St. @ Centre St.,43.8164711,-79.4247208,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01998,0,1,POINT (-79.4247208 43.8164711),
01997,Yonge St. @ Bunker Rd.,43.8288956,-79.42729190000001,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01997,0,1,POINT (-79.42729190000001 43.8288956),
01996,Yonge St. @ Bunker Rd.,43.8289528,-79.4275894,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01996,0,1,POINT (-79.4275894 43.8289528),
01987,Yonge St. @ Bay Thorn Dr.,43.8248672,-79.42629240000002,60,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=01987,0,1,POINT (-79.42629240000002 43.8248672),
